来自资产处,,,,,,,,,,,,来自档案馆,,,,来自基建处,,,汇总结论,
,房屋,所属楼层,房号,名称,房间用途,使用部门,使用人,"建筑面积
(㎡)","使用面积
(㎡)","实际使用人
数(人)",备注,楼栋,"规划许可证
功能用途",竣工验收报告功能属性,消防合格书功能认定,"施工图
消防定性",,,"是否为稀缺性
功能空间",
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,802,普通实验室、实习场所,专用科研用房,物理学院,,110.43,60.80,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,803,803,专用科研用房,物理学院,,111.16,61.20,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,804,普通实验室、实习场所,专用科研用房,物理学院,,79.37,43.70,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,805,805,专用科研用房,物理学院,,119.88,66.00,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,806,普通实验室、实习场所,专用科研用房,物理学院,,105.35,58.00,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,807,普通实验室、实习场所,专用科研用房,物理学院,,118.79,65.40,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,808,808,专用科研用房,物理学院,,110.43,60.80,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,809,普通实验室、实习场所,专用科研用房,物理学院,,118.24,65.10,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,810,810,专用科研用房,物理学院,,92.82,51.10,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,811,普通实验室、实习场所,专用科研用房,物理学院,,54.30,29.90,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,812,普通实验室、实习场所,专用科研用房,物理学院,,48.85,26.90,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),8层,813,813,专用科研用房,物理学院,,100.45,55.30,,马余强院士用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,901,901,普通教室,高性能计算中心,,114.98,63.30,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,902,902,普通教室,高性能计算中心,,110.43,60.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,903,903,普通教室,物理学院,,118.24,65.10,,邹志刚装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,904-906,904-906,普通教室,南京大学财务处仓库,,341.83,188.20,,库房,,,,,,,,,
